KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
dialogue_02Giu,U..cde..ksss..damaged. You nee..legitimate ID!,U..cde..ksss..beschädigt. Du brauch..Legitimations-ID!,U..cde..ksss..endommagé. Nécessite autorisation ID!,Dov..cd..ce..ksss..danneggiato. Dovet..autorzzre l'ID!,,,U..cde..ksss..danificada. Você preci.. ID legítimo!,,U..cde..ksss..поврежден. Вам нуж.. легальный ИД!,U...cde...ksss...損傷しています。正当なID...必要です！,,U..cde..ksss.損壞.你需要有效的ID代碼!,,,,,U..cde..ksss..hết rồi. Bạn nee.. ID hợp pháp!
dialogue_8WuSa,UCH Heidelberg,UCH Heidelberg,UCH Heidelberg,UCH Heidelberg,,,UCH Heidelberg,,UCH Heidelberg,UCH ハイデルベルク,,UCH-Heidelberg號,,,,,UCH Heidelberg
dialogue_40mWq,..dentify cn...us..!,..dentifiziere cn...uns..!,..dentification cn...nous..!,..tificazione sia...noi..!,,,..dentificou cn...nós..!,,..дентифицируй cn...нас..!,..く認 cn...我々..！,,..dentify cn...us..!,,,,,..xác định cn ... chúng tôi ..!
dialogue_484O8,Integrated Data Assistant (IDA),Integrierter Daten-Assistent (IDA),Assistant de données intégré (IDA),Assistente Dati Integrata (IDA),,,Assistente de Dados Integrada (IDA),,Встроенный Исскуственный Компьютерный Ассистент (ВИКА),統合データアシスタント(IDA),,集成數據助理（IDA）,,,,,Hỗ trợ dữ liệu tích hợp (IDA)
dialogue_ea4m7,\n<color=#00ffff>Emergency situation detected! </color>\n\n@w4 Protocol UCH001A has been initialized!,\n<color=#00ffff>Notfall erkannt! </color>\n\n@w4 Protokoll UCH001A wurde initialisiert!,\n<color=#00ffff>Situation d'urgence détectée!</color> \n\n@w4 Le protocole CHU001A a été initialisé!,\n<color=#00ffff>Situazione di emergenza rilevata! </color>\n\n@w4 Protocollo UCH001A avviato!,,,\n<color=#00ffff>Situação de emergência detectada! </color>\n\n@w4 Protocolo UCH001A foi iniciado!,,\n<color=#00ffff>Обнаружена аварийная ситуация! </color>\n\n@w4 Протокол UCH001A был инициализирован!,\n<color=#00ffff>緊急事態を検知！ </color>\n\n@w4 プロトコル UCH001A が開始されました！,,\n<color=＃00ffff>檢測到的緊急情況！</color>\n\n@w4 UCH001A協議已啟動！,,,,,\n<color=#00ffff> Đã phát hiện tình huống khẩn cấp! </color>\n\n@w4 Giao thức UCH001A đã được khởi tạo!
dialogue_KKSS0,Proceed,Fortsetzen,Continuer,Procedi,,,Prosseguir,,Продолжить,続行する,,繼續,,,,,Tiếp tục
dialogue_Y0GSQ,Abort,Abbrechen,Interrompre,Interrompi,,,Abortar,,Прервать,中止する,,中止,,,,,Huỷ bỏ
dialogue_uSuiW,Integrated Data Assistant (IDA),Integrierter Daten-Assistent (IDA),Assistant de données intégré (IDA),Assistente Dati Integrata (IDA),,,Assistente de Dados Integrada (IDA),,Встроенный Исскуственный Компьютерный Ассистент (ВИКА),統合データアシスタント(IDA),,集成數據助理（IDA）,,,,,Hỗ trợ dữ liệu tích hợp (IDA)
dialogue_sKeGu,"Ship status: @w1 . .  @w1 Destroyed due to malfunction in the engine systems. @w1 \nCurrent situation: @w1 . .  @w1 Crashed on an unknown planet. @w1 \nPilot status: @w1 . .  @w1 Successfully abandoned ship in an escape pod. @w1 \nPilot health: @w1 . .  @w1 Low, but stable.@w1\nIntegrated Data Assistant (IDA):  @w1 . .  @w1 Rebooted. @p9Welcome back, Commander! @w2 Glad to see you alive!@w4 \n\nWe've had incredible luck!@w1 Being dragged into the TITAN's warp vortex and coming out alive in one piece!@w1 \nI am currently trying to re-establish communication with the Operation Phoenix fleet. @w3\n\nThis will take a few minutes.@p9 In the meantime:@w1 I've been storing our sensor and event logs since our escape from Apollon station in the <color=#ffffff>Empyriopedia Journey Book</color> (<color=#00ff11>F1</color>). @w2\n\nOpen the entry 'Starting The Journey' to read the log.@w2 \n\nAlso: make sure to pick any item, including the <color=#ffffff>detector</color>, from your <color=#ffffff>escape pod</color> (<color=#00ff11>F</color>) before going anywhere!
","Status Schiff: @w1 . .  @w1 Zerstört durch Fehlfunktion des Antriebsystems. @w1 \nDerzeitige Situation: @w1 . .  @w1 Notlandung auf einem unbekannten Planeten. @w1 \nStatus Pilot: @w1 . .  @w1 Schiff erfolgreich in einer Rettungskapsel verlassen. @w1 \nGesundheit Pilot: @w1 . .  @w1 Niedrig, aber stabil.@w1\nIntegrierter Daten-Assistent (IDA):  @w1 . .  @w1 Wieder hochgefahren. @p9Willkommen zurück, Commander! @w2 Ich freue mich, dich am Leben zu sehen!@w4 \n\nWir hatten unglaubliches Glück!@w1 In den Warpwirbel der TITAN gezogen zu werden und lebend und in einem Stück wieder herauszukommen!@w1 \nIch versuche derzeit eine Kommunikation mit der Operation Phoenix-Flotte herzustellen. @w3\n\nDas wird ein paar Minuten dauern.@p9 In der Zwischenzeit:@w1 Ich habe unsere Sensor- und Ereignislogs seit unserem Entkommen von der Apollon Station im <color=#ffffff>Empyriopedia Reisebuch</color> (<color=#00ff11>F1</color>)gespeichert. @w2\n\nÖffne den Eintrag 'Die Reise beginnt' um sie zu lesen.@w2 \n\nAußerdem: Stelle sicher, dass du alle Gegenstände, inklusive den <color=#ffffff>Detektor</color>, aus deiner <color=#ffffff>Rettungskapsel</color> (<color=#00ff11>F</color>) genommen hast, bevor du irgendwo hingehst!
","Statut vaisseau: @w1 .. @w1 détruit - lié à un dysfonctionnement des systèmes moteur. @w1 \nStatus pilote: @w1 .. @w1 a pu abandonner le vaisseau avec succès à bord d'un module de survie. @w1 \nSituation actuelle: @w1 .. @w1 crashé sur une planète inconnue. @w1 \nSanté du pilote: @w1 .. @w1 précaire mais stable. @w1 \nAssistant de données intégré (IDA): @w1 .. @w1 redémarré. @p9Bienvenue commandant! @w2 Heureux de vous revoir vivant! @w4 \n\nNous avons eu une chance incroyable! @w1 Avoir été entraîné dans le vortex de distorsion du TITAN et en ressortir vivant en un seul morceau!! @w1 \nJe tente de rétablir la communication avec la flotte de l'Opération Phoenix... @w3 Ça prendra quelques minutes. \n\n@p9 En attendant : \n@w1 Jai stocké les données et les journaux d'événements depuis notre évasion de la station Apollo dans le \n<color=#ffffff>Journal de bord</color>. @w2 \nVous pouvez le consulter à tout momment avec <color=#00ff11>(F1)</color>. @w2 \n\nEt surtout, assurez-vous de récupérer tous les éléments de votre <color=#ffffff>Module de survie</color> <color=#00ff11>(F)</color> avant de partir!","Stato nave: @w1 . .  @w1 Distrutta a causa di un malfunzionamento nei sistemi motore. @w1 \nSituazione Attuale: @w1 . .  @w1 Schiantata su un pianeta sconosciuto. @w1 \nStato Pilota: @w1 . .  @w1 Ha abbandonato con successo la nave in una capsula di salvataggio. @w1 \nSalute Pilota: @w1 . .  @w1 Bassa, ma stabile.@w1\nAssistente Dati Integrata (IDA):  @w1 . .  @w1 Riavviata. @p9Bentornato, Comandante! @w2 Lieta che tu sia sopravvissuto! @w4 \n\nSto effettuando una valutazione della situazione. Ci vorranno alcuni minuti.\n\nNel frattempo, assicurati di recuperare tutti gli oggetti dalla Capsula di Salvataggio (<color=#00ff08>F</color>) prima di andartene.",,,"Status da nave: @w1 . .  @w1 Destruído pelo mau funcionamento nos sistemas de motor. @w1 \nSituação atual: @w1 . .  @w1 Colisão com planeta desconhecido. @w1 \nStatus do piloto: @w1 . .  @w1 Abandonou nave com sucesso em um pod de fuga. @w1 \nSaúde do piloto: @w1 . .  @w1 Baixa, mas estável.@w1\nAssistente de Dados Integrada (IDA):  @w1 . .  @w1 Reiniciada. @p9Bem-vindo de volta, Comandante! @w2 Fico feliz que esteja vivo!@w4 \n\nTivemos uma sorte incrível!@w1 Sendo arrastados para dentro do vórtice de dobra do TITAN e saindo vivos e inteiros!@w1 \nNo momento, estou tentando reestabelecer comunicação com a frota da Operação Fênix. @w3\n\nDeve levar alguns minutos.@p9 No meio tempo:@w1 Estive salvando os logs de evento e de sensores desde nossa saída da Estação Apollon no <color=#ffffff>Empyriopedia Journey Book</color> (<color=#00ff11>F1</color>). @w2\n\nAbra a opção 'Starting The Journey' para ler o log.@w2 \n\nAlém disso: Certifique-se de pegar qualquer item que achar, incluindo o <color=#ffffff>Detector</color>, do seu <color=#ffffff>Escape Pod</color> (<color=#00ff11>F</color>) antes de ir a algum lugar!
",,"Статус корабля: @w1 . .  @w1 Уничтожен из-за неисправности в системах двигателя. @w1 \nТекущая ситуация: @w1 . .  @w1 Авария на неизвестной планете. @w1 \nСтатус пилота: @w1 . .  @w1 Успешно покинул судно в спасательной капсуле. @w1 \nЗдоровье пилота: @w1 . .  @w1 Низкое, но стабильное.@w1\nВстроенный Исскуственный Компьютерный Ассистент (ВИКА):  @w1 . .  @w1 Перезагрузился. @p9С возвращением, командир! @w2 Рада видеть вас живым! @w4 \n\nНам невероятно повезло!@w1 Нас затянуло в варп-вихрь ТИТАНа и мы пережили это!@w1 \nВ настоящее время я пытаюсь восстановить связь с флотом «Операции Феникс». @w3\n\nЭто займет несколько минут.@p9 А пока:@w1 Я сохранила наши датчики и журналы событий с момента нашего побега со станции Аполлон в <color=#ffffff>Эмпириопедия Путеводитель</color> (<color=#00ff11>F1</color>). @w2\n\nОткройте запись «Начало путешествия», чтобы прочитать журнал.@w2 \n\nТакже: не забудьте забрать любой предмет, включая <color=#ffffff>Детектор</color>, из вашей <color=#ffffff>Спасательной капсулы</color> (<color=#00ff11>F</color>) прежде чем идти в другое место!
",船の状態: @w1 . .  @w1 エンジンシステムの異常動作により破壊。 @w1 \n現在の状況: @w1 . .  @w1 未知の惑星に墜落。 @w1 \nパイロットの状態: @w1 . .  @w1 脱出ポッドでの船の放棄に成功 @w1 \nパイロット健康状態: @w1 . .  @w1 低いが安定。@w1\nIntegrated Data Assistant (IDA):  @w1 . .  @w1 再起動。 @p9お帰りなさい、司令官！ @w2 あなたが生きていてよかった！@w4 \n\n信じられないほど幸運でした！@w1 TITANのワープ渦に引きずり込まれながらも五体満足で脱出できました！w1 \n現在、フェニックス作戦艦隊との通信を再確立しようとしています。 @w3\n\nこれには数分かかります。@p9 その間:@w1 アポロンステーションから脱出した後のセンサーとイベントのログを <color=#ffffff>Empyriopedia Journey Book</color> (<color=#00ff11>F1</color>)に保存してあります。 @w2\n\n'Starting The Journey' を開くとログを確認することができます。@w2 \n\nそれと: 他の場所に移動する前に <color=#ffffff>携帯レーダー</color> を <color=#ffffff>脱出ポッド</color> (<color=#00ff11>F</color>) から取り出しておいてください！,,"船艦狀態: @w1 . .  @w1 因為引擎系統故障而損壞. @w1 \n目前狀態: @w1 . .  @w1 墜毀在未知的星球上. @w1 \n駕駛員狀態: @w1 . .  @w1 成功透過救生倉逃離船難. @w1 \n駕駛健康狀況: @w1 . .  @w1低下，但是穩定的.@w1\n集成數據助理 (IDA):  @w1 . .  @w1 重啟中. @p9歡迎回來, 指揮官! @w2 很高興見到你還活著!@w4 \n\n我們很幸運!@w1 被泰坦號的曲速躍遷渦流給吸走並成功活著從一個地方出來!@w1 \n我正試著跟鳳凰行動的艦隊群建立通訊. @w3\n\n這會需要一點時間.@p9 與此同時:@w1我已經儲存了一些從我們逃離Apollon太空站時的感測數據與紀錄在 <color=#ffffff>帝國霸業百科與活動紀錄</color> (<color=#00ff11>F1</color>). @w2\n\n打開章節 '開始旅程' 來閱讀這些紀錄.@w2 \n\n同時:˙請盡量撿起任何可以撿起的東西, 包括 <color=#ffffff>探測器</color>, 從你的 <color=#ffffff>逃生倉</color> (<color=#00ff11>F</color>) 在離開這裡之前!(1.6後工具有時候會在逃生倉旁邊的地上，看伺服器設定)
",,,,,"Trạng thái tàu: @w1. . @w1 Bị phá hủy do hệ thống động cơ bị trục trặc. @w1\nTình hình hiện tại: @w1. . @w1 Đập vào một hành tinh không xác định. @w1\nTrạng thái thí điểm: @w1. . @w1 Đã bỏ rơi con tàu thành công trong một ổ thoát hiểm. @w1\nTình trạng thí điểm: @w1. . @w1 Thấp, nhưng ổn định. @w1\nHỗ trợ dữ liệu tích hợp (IDA): @w1. . @w1 Đã khởi động lại. @p9 Chào mừng trở lại, Chỉ huy! @w2 Rất vui khi thấy bạn còn sống! @w4\n\nChúng tôi đã gặp may mắn lạ thường! @w1 Bị kéo vào vòng xoáy dọc của TITAN và sống sót sau một mảnh! @w1\nTôi hiện đang cố gắng thiết lập lại liên lạc với hạm đội của Chiến dịch Phoenix. @w3\n\nQuá trình này sẽ mất vài phút. @p9 Trong thời gian chờ đợi: @w1 Tôi đã lưu trữ nhật ký sự kiện và cảm biến của chúng tôi kể từ khi chúng tôi thoát khỏi ga Apollon trong <color=#ffffff> Empyriopedia Journey Book </color> (<color=#00ff11> F1 </color>). @w2\n\nMở mục nhập 'Bắt ​​đầu hành trình' để đọc nhật ký. @w2\n\nNgoài ra: Đảm bảo chọn bất kỳ mục nào, bao gồm cả <color=#ffffff> Máy quét </color>, từ <color=#ffffff>Kén thoát hiểm</color> (<color=#00ff11>F</color>) của bạn trước khi đi đến nơi khác !"
dialogue_0KioS,"Thanks for the reminder, IDA!","Danke für die Erinnerung, IDA!",Merci pour le rappel IDA!,"Grazie per il promemoria, IDA!",,,"Grato por me lembrar, IDA!",,"Спасибо за напоминание, ВИКА!",IDA、注意喚起をありがとう！,,謝謝你的提醒，IDA！,,,,,"Cảm ơn vì đã nhắc nhở, IDA!"
dialogue_e0uS4,Integrated Data Assistant (IDA),Integrierter Daten-Assistent (IDA),Assistant de données intégrée (IDA),Assistente Dati Integrata (IDA),,,Assistente de Dados Integrada (IDA),,Встроенный Исскуственный Компьютерный Ассистент (ВИКА),統合データアシスタント(IDA),,集成數據助理（IDA）,,,,,Hỗ trợ dữ liệu tích hợp (IDA)
dialogue_GGKSW,"Commander, just for your reference: I've been storing our sensor and event logs since Apollon station in the database. \n\n@w2 Do you want to review them now?","Commander, nur zu deiner Information: Ich habe unsere Sensor- und Ereignisprotokolle seit der Apollon-Station in der Datenbank gespeichert. \n\n@w2 Willst du sie jetzt einsehen?",Commandant: j'ai stocké les données des capteurs et les journaux d'événements en provenance de la station Apollo dans la base de données. \n\n@w2 Voulez-vous les examiner maintenant?,"Comandante, ho registrato nel database i dati forniti dai sensori e dal registro degli eventi dal momento in cui siamo partiti dalla Stazione Apollon. \n\n@w2 Vuoi esaminarli ora?",,,"Comandante, só para sua referência: estive gravando os logs de eventos e de sensores desde a Estação Apollon no banco de dados. \n\n@w2 Deseja revisá-los agora?",,"Командир, просто для справки: я храню данные с датчиков и журналы событий со станции Аполлон в своей базе данных. \n\n@w2 Вы хотите просмотреть их сейчас?",司令官、参考までに：私はアポロンステーション以来、我々のセンサーとイベントのログをデータベースに保存しています。 \n\n@w2 今すぐ確認しますか？,,指揮官，只是為了您的參考：我一直在數據庫中的ApollonStation以來將傳感器和事件日誌存儲。\n\n@w2現在要查看它們嗎？,,,,,"Chỉ huy, chỉ để bạn tham khảo: Tôi đã lưu trữ các bản ghi sự kiện và cảm biến của chúng tôi kể từ trạm Apollon trong cơ sở dữ liệu.\n\n@w2 Bạn có muốn xem lại chúng ngay bây giờ không?"
